t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
1559,1,MS,10.1909090900000,1,287969.2925751699950,287969.2925751699950,0.0033918400000
1560,1,MS,10.1151515200000,1,287765.6927177599864,287765.6927177599864,0.0033707600000
1561,1,MS,10.0515151500000,1,287559.0026461799862,287559.0026461799862,0.0033531400000
1562,1,MS,9.9545454500000,1,287347.9919837799971,287347.9919837799971,0.0033264500000
1563,1,MS,9.8212121200000,1,287131.0421779099852,287131.0421779099852,0.0032900800000
1564,1,MS,9.6757575800000,1,286907.4411587700015,286907.4411587700015,0.0032508100000
1565,1,MS,9.5333333300000,1,286677.1649806399946,286677.1649806399946,0.0032127700000
1566,1,MS,9.3969697000000,1,286440.2321743100183,286440.2321743100183,0.0031767300000
1567,1,MS,9.2636363600000,1,286197.2558099700254,286197.2558099700254,0.0031418500000
1568,1,MS,9.1363636400000,1,285952.2012946699979,285952.2012946699979,0.0031088800000
1569,1,MS,9.0090909100000,1,285709.4218603899935,285709.4218603899935,0.0030762200000
1570,1,MS,8.8787878800000,1,285470.1494500699919,285470.1494500699919,0.0030431100000
1571,1,MS,8.7636363600000,1,285234.9240318899974,285234.9240318899974,0.0030141300000
1572,1,MS,8.6545454500000,1,285004.1636475399719,285004.1636475399719,0.0029869000000
1573,1,MS,8.5545454500000,1,284778.1150375800207,284778.1150375800207,0.0029621400000
1574,1,MS,8.4696969700000,1,284556.8902025899733,284556.8902025899733,0.0029412700000
1575,1,MS,8.4212121200000,1,284339.9469578799908,284339.9469578799908,0.0029294100000
1576,1,MS,8.3939393900000,1,284127.1924893400283,284127.1924893400283,0.0029227600000
1577,1,MS,8.3878787900000,1,283918.5759287099936,283918.5759287099936,0.0029212800000
1578,1,MS,8.3757575800000,1,283714.4304249500274,283714.4304249500274,0.0029183300000
1579,1,MS,8.3454545500000,1,283515.1224486500141,283515.1224486500141,0.0029109600000
1580,1,MS,8.3030303000000,1,283320.5451843800256,283320.5451843800256,0.0029006800000
1581,1,MS,8.2727272700000,1,283130.1504523099866,283130.1504523099866,0.0028933500000
1582,1,MS,8.2333333300000,1,282943.8950501800282,282943.8950501800282,0.0028838600000
1583,1,MS,8.1818181800000,1,282761.7818069899804,282761.7818069899804,0.0028714800000
1584,1,MS,8.1454545400000,1,282582.6807760199881,282582.6807760199881,0.0028627700000
1585,1,MS,8.1121212100000,1,282405.1110206600279,282405.1110206600279,0.0028548100000
1586,1,MS,8.0545454500000,1,282229.2443240800058,282229.2443240800058,0.0028411100000
1587,1,MS,7.9727272700000,1,282054.8630515100085,282054.8630515100085,0.0028217400000
1588,1,MS,7.8848484900000,1,281882.2223549300106,281882.2223549300106,0.0028010700000
1589,1,MS,7.7636363600000,1,281711.9888484500116,281711.9888484500116,0.0027727800000
1590,1,MS,7.6575757600000,1,281544.1911102900049,281544.1911102900049,0.0027482500000
1591,1,MS,7.5363636400000,1,281378.5742566100089,281378.5742566100089,0.0027204600000
1592,1,MS,7.3969697000000,1,281215.5399494600133,281215.5399494600133,0.0026888100000
1593,1,MS,7.3060606100000,1,281054.7467139000073,281054.7467139000073,0.0026683500000
1594,1,MS,7.1666666700000,1,280897.1648365299916,280897.1648365299916,0.0026372600000
1595,1,MS,7.0484848500000,1,280742.7429934400134,280742.7429934400134,0.0026111500000
1596,1,MS,6.9696969700000,1,280591.1765104099759,280591.1765104099759,0.0025938800000
